SMILES,Predicted ΔH,Melting_Point,pH2
c1ccc(Cc2ccccn2)cc1,50.284557061900024,13.87,6.670968382389425
ClC(=CCc1ccccc1)c1ccccc1,61.617612702699965,24.099,5.811377319485704
c1ccc(CCCc2ccccc2)cc1,61.094814828499956,6.395,5.8045290298431755
Cc1cccc2ccccc12,60.75813908759995,34.481,6.6193418745608525
N#Cc1ccccc1,59.05098779000001,-12.613,8.90427900074206
Cc1ccccc1,62.62973638759991,-93.283,6.1595494403650255
c1ccncc1,60.523454832200024,-41.558,7.1027598355842985
Cc1cccnc1,50.51771765219999,-17.682,6.098188087963945
Nc1ccccc1,54.4084539766,-5.915,6.098188087963958
CC(=O)c1ccccc1,59.421011319899925,18.292,6.289435713450103
Cc1ccccn1,52.79091756030003,-54.936,6.098188087963945
c1ccc2ncccc2c1,46.32753780020002,-12.609,7.23919507045289
c1ccc(Cc2ccccc2)cc1,60.48152690949996,24.853,6.707516566390302
O=Cc1ccccc1,59.868356262300004,-25.566,7.062038042526402
c1ccc(CCOc2ccccc2)cc1,59.58582708249995,25.052,5.7501152780220295
Cc1ccccc1Cc1ccccc1,60.86808496229995,-10.946,6.223438738024882
c1ccc(COc2ccccc2)cc1,59.83887189739995,39.858,6.160929844041251
CCc1cccc2ccccc12,60.099342501899955,-11.346,6.061043365322181
N#CCc1ccccc1,55.77331534039996,-23.422,7.922597480173899
C(=Cc1ccccc1)c1ccccc1,60.74602634309998,28.107,7.260678527695728
CC(=Cc1ccccc1)c1ccccc1,60.49822640259997,36.216,6.7719505348170825
O=C=NCc1ccccc1,61.744215187999956,24.261,7.037631781051465
COC(=O)c1ccccc1,60.00095495199996,-15.451,5.591690127172134
C=Cc1ccccc1,64.906594057,-30.146,7.186141013759209
CC(=O)Cc1ccccc1,61.188392900099956,-8.816,5.669211625258378
Cc1ccc2ccccc2c1,62.41307706689998,34.481,6.6193418745608525
c1ccc2occc2c1,64.47341500459994,-18.162,6.389908002440618
Cc1ccccc1C(C)c1ccccc1,62.40517693599995,20.901,5.804529029843188
Cc1ccccc1-c1ccccc1,63.94126903249993,17.941,6.707516566390302
C(C=Cc1ccccc1)=CCc1ccccc1,59.83363752409997,38.209,6.82109430179788
CCc1ccc2ccccc2c1,59.973370574599954,-11.346,6.061043365322181
CC(Cc1ccccc1)c1ccccc1,61.35968970869995,32.242,5.8045290298432155
CC(C)c1cccc2ccccc12,62.21417181239996,14.913,5.589597138658615
c1ccc(CCc2cccnc2)cc1,49.90625489379999,12.578,6.191963143076503
c1ccc(CCc2ccncc2)cc1,51.10432042890002,12.845,6.191963143076518
Cc1cc(C)c2ccccc2c1,61.80598882819997,30.34,6.061043365322181
c1ccc(CCCc2cccnc2)cc1,50.05871767879999,14.586,5.777138845240843
CC(C)c1ccc2ccccc2c1,60.20063735499999,14.913,5.589597138658615
c1ccc(CCc2ccccn2)cc1,48.09587462490001,-2.462,6.191963143076503
