SMILES,Predicted ΔH
c1ccc(-c2ccccc2)cc1,64.85294590339996
c1ccc(-c2cccnc2)cc1,63.33022722870001
c1ccc(-c2cccnc2)cc1,63.33022722870001
c1ccc(-c2cncnc2)cc1,60.904406130400005
c1ccc(-c2ncccn2)cc1,62.54002743109998
c1ccc(-c2ccnnc2)cc1,63.47667849440002
c1ccc(-c2c[nH]cn2)cc1,53.22833680239998
c1ccc2ccccc2c1,60.55140021729998
Cc1cccc(-c2ncccn2)c1,63.51833949109998
Nc1ncccc1-c1ccccc1,58.12617875335001
c1ccc(-c2ccncn2)cc1,60.077040192400005
c1ccc(-c2cnnnc2)cc1,62.13737812530001
c1ccc(-c2c[nH]c3ccccc23)cc1,61.985261907399966
c1ccc(-c2cnccn2)cc1,62.5510540929
c1ccc(-c2cnccn2)cc1,62.5510540929
c1ccc(-c2ccc[nH]2)cc1,67.53857991969994
C(=Cc1ccccc1)c1ccccc1,60.74602634309998
c1ccc(-c2cccc3ccccc23)cc1,63.57125119289994
c1ccc2ncncc2c1,44.88543554137999
C(#Cc1ccccc1)c1ccccc1,68.03989857529997
c1ccc(Cc2ccccc2)cc1,60.48152690949996
c1ccc2ncccc2c1,46.32753780020002
Cc1cccc2ccccc12,60.75813908759995
c1ccc2c(c1)Cc1ccccc1-2,62.40871129769998
c1ccc2cc3ccccc3cc2c1,60.374795522299976
c1ccc2cc3ccccc3cc2c1,60.374795522299976
Nc1ccccc1-c1ccccc1,62.76355987559999
Nc1ncccc1-c1ccccc1,58.12617875335001
c1ccc(-c2ccc3ccccc3c2)cc1,64.42646318439995
c1ccc2cc3ccccc3cc2c1,60.374795522299976
c1ccc(-c2ccc3ccccc3c2)cc1,64.42646318439995
c1ccc(-c2c[nH]c3ncccc23)cc1,49.14275686909997
c1ccc(-c2ccnc3ccccc23)cc1,59.467217494799996
c1ccc(-c2c[nH]c3cccnc23)cc1,48.52946544719999
c1ccc(-c2ccc3cccnc3c2)cc1,59.6842579529
c1ccc(-c2ccccn2)cc1,63.254009839200016
c1ccc(-c2cccc3cccnc23)cc1,63.731850401500004
c1ccc(-c2ccc3cccnc3n2)cc1,62.537359485100005
c1ccc(-c2cccnc2-c2ccccc2)cc1,62.768859447000004
c1ccc(-c2ccnc3ncccc23)cc1,62.0824587914
Nc1cccc(-c2ccncc2)c1,58.64265136020004
c1ccc(-c2ccncc2)cc1,63.38022900110001
c1ccc(Cc2cccnc2)cc1,53.4890384488
c1ccc(-c2ccccc2)cc1,64.85294590339996
c1ccc(-c2ccccc2-c2ccccc2)cc1,64.04937880959994
c1ccc2ncccc2c1,46.32753780020002
c1ccc2c(c1)ccc1c3ccccc3ccc21,60.314448842299974
c1ccc2c(c1)[nH]c1ccccc12,58.404238749299985
c1ccc(N(c2ccccc2)c2ccccc2)cc1,60.65443139979997
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,64.85294590339996
c1ccc(-c2ccc3ccccc3c2)cc1,64.42646318439995
c1ccc(-c2ccc3ccccc3n2)cc1,60.249996317200036
Oc1ncccc1-c1ccccc1,61.87955183730002
c1ccc(-c2ccc3ncccc3c2)cc1,60.12190254779999
Oc1cnccc1-c1ccccc1,62.43536974960002
Cc1ncccc1-c1ccccc1,63.75957436890001
c1ccc2nc3ccccc3cc2c1,48.76375894210002
Nc1cc2ccccc2cn1,44.759037989999996
c1ccc2ncccc2c1,46.32753780020002
c1ccc(Nc2ccccc2)cc1,60.60528247739998
